,formula,a_1,b_1,a_2,b_2,gap gllbsc
844,NaTaCsVO6,Na,Ta,Cs,V,2.363009793
845,NaTaGaNbO6,Na,Ta,Ga,Nb,1.730621385
846,NaTaGaTaO6,Na,Ta,Ga,Ta,2.222919423
847,NaTaKNbO6,Na,Ta,K,Nb,3.540237672
848,NaTaKSbO6,Na,Ta,K,Sb,4.704438422
849,NaTaLaAlO6,Na,Ta,La,Al,5.463483714
850,NaTaLaGaO6,Na,Ta,La,Ga,5.783047389
851,NaTaLaInO6,Na,Ta,La,In,5.796447733
852,NaTaLaScO6,Na,Ta,La,Sc,5.81349461
853,NaTaLiNbO6,Na,Ta,Li,Nb,3.680629719
854,NaTaLiVO6,Na,Ta,Li,V,2.329410389
855,NaTaMgTiO6,Na,Ta,Mg,Ti,5.507143417
856,NaTaMgZrO6,Na,Ta,Mg,Zr,6.569568849
857,NaTaNaNbO6,Na,Ta,Na,Nb,3.647117014
858,NaTaNaSbO6,Na,Ta,Na,Sb,5.074337872
859,NaTaNaVO6,Na,Ta,Na,V,2.169068677
860,NaTaPbHfO6,Na,Ta,Pb,Hf,5.305299178
861,NaTaPbTiO6,Na,Ta,Pb,Ti,4.039463554
862,NaTaPbZrO6,Na,Ta,Pb,Zr,5.216403865
863,NaTaRbNbO6,Na,Ta,Rb,Nb,3.480014569
864,NaTaSnHfO6,Na,Ta,Sn,Hf,3.914535872
865,NaTaSnTiO6,Na,Ta,Sn,Ti,3.195873205
866,NaTaSnZrO6,Na,Ta,Sn,Zr,3.898925658
867,NaTaSrGeO6,Na,Ta,Sr,Ge,5.506571885
868,NaTaSrHfO6,Na,Ta,Sr,Hf,5.245269065
869,NaTaSrSiO6,Na,Ta,Sr,Si,5.199998746
870,NaTaSrSnO6,Na,Ta,Sr,Sn,5.861567096
871,NaTaSrTiO6,Na,Ta,Sr,Ti,3.984039403
872,NaTaSrZrO6,Na,Ta,Sr,Zr,5.150326621
873,NaTaTlNbO6,Na,Ta,Tl,Nb,1.759992136
874,NaTaTlTaO6,Na,Ta,Tl,Ta,2.248121897
875,NaTaYAlO6,Na,Ta,Y,Al,5.979767534
876,NaVAgNbO6,Na,V,Ag,Nb,2.024041846
877,NaVCaGeO6,Na,V,Ca,Ge,2.040410527
878,NaVCaSiO6,Na,V,Ca,Si,1.556374115
879,NaVCaSnO6,Na,V,Ca,Sn,2.198835873
880,NaVCaTiO6,Na,V,Ca,Ti,2.748175665
881,NaVKNbO6,Na,V,K,Nb,2.30764797
882,NaVLaAlO6,Na,V,La,Al,2.104043702
883,NaVLaGaO6,Na,V,La,Ga,2.327056312
884,NaVLaInO6,Na,V,La,In,2.544322997
885,NaVLiNbO6,Na,V,Li,Nb,2.81010926
886,NaVLiVO6,Na,V,Li,V,1.782964202
887,NaVMgTiO6,Na,V,Mg,Ti,2.975484912
888,NaVRbNbO6,Na,V,Rb,Nb,2.345476269
889,NaVSnTiO6,Na,V,Sn,Ti,0.833213251
890,NaVSrGeO6,Na,V,Sr,Ge,1.851035372
891,NaVSrSiO6,Na,V,Sr,Si,1.548547901
892,NaVSrSnO6,Na,V,Sr,Sn,2.194622653
893,NaVSrTiO6,Na,V,Sr,Ti,2.053965934
894,NaVTlNbO6,Na,V,Tl,Nb,0.48533037
895,NaVYAlO6,Na,V,Y,Al,2.225434488
896,PbHfAgNbO6,Pb,Hf,Ag,Nb,4.224152118
897,PbHfBaSnO6,Pb,Hf,Ba,Sn,5.867489513
898,PbHfBaTiO6,Pb,Hf,Ba,Ti,4.715173396
899,PbHfCaGeO6,Pb,Hf,Ca,Ge,5.438871864
900,PbHfCaSiO6,Pb,Hf,Ca,Si,6.23205056
901,PbHfCaSnO6,Pb,Hf,Ca,Sn,6.036393612
902,PbHfCaTiO6,Pb,Hf,Ca,Ti,4.381883728
903,PbHfCsVO6,Pb,Hf,Cs,V,1.830093634
904,PbHfGaNbO6,Pb,Hf,Ga,Nb,2.729158284
905,PbHfGaTaO6,Pb,Hf,Ga,Ta,3.513598295
906,PbHfInNbO6,Pb,Hf,In,Nb,1.491118527
907,PbHfKNbO6,Pb,Hf,K,Nb,4.347420461
908,PbHfKSbO6,Pb,Hf,K,Sb,5.483723223
909,PbHfLaAlO6,Pb,Hf,La,Al,6.240145632
910,PbHfLaGaO6,Pb,Hf,La,Ga,6.330118621
911,PbHfLaInO6,Pb,Hf,La,In,5.39337693
912,PbHfLiNbO6,Pb,Hf,Li,Nb,4.317254424
913,PbHfLiVO6,Pb,Hf,Li,V,1.971901666
914,PbHfMgTiO6,Pb,Hf,Mg,Ti,4.089321614
915,PbHfNaNbO6,Pb,Hf,Na,Nb,4.135896987
916,PbHfNaSbO6,Pb,Hf,Na,Sb,5.76696615
917,PbHfNaVO6,Pb,Hf,Na,V,1.9634335
918,PbHfPbTiO6,Pb,Hf,Pb,Ti,4.510073988
919,PbHfPbZrO6,Pb,Hf,Pb,Zr,5.083910042
920,PbHfRbNbO6,Pb,Hf,Rb,Nb,4.294597438
921,PbHfSnHfO6,Pb,Hf,Sn,Hf,4.399268884
922,PbHfSnTiO6,Pb,Hf,Sn,Ti,3.97386115
923,PbHfSnZrO6,Pb,Hf,Sn,Zr,4.38249106
924,PbHfSrGeO6,Pb,Hf,Sr,Ge,6.239783015
925,PbHfSrSiO6,Pb,Hf,Sr,Si,6.223094959
926,PbHfSrSnO6,Pb,Hf,Sr,Sn,5.969245121
927,PbHfSrTiO6,Pb,Hf,Sr,Ti,4.511809568
928,PbHfTlNbO6,Pb,Hf,Tl,Nb,2.759636618
929,PbHfTlTaO6,Pb,Hf,Tl,Ta,3.520176139
930,PbHfYAlO6,Pb,Hf,Y,Al,5.658814835
931,PbTiAgNbO6,Pb,Ti,Ag,Nb,3.374084532
932,PbTiBaSnO6,Pb,Ti,Ba,Sn,4.748196307
933,PbTiBaTiO6,Pb,Ti,Ba,Ti,3.64716967
934,PbTiCaGeO6,Pb,Ti,Ca,Ge,4.326039143
935,PbTiCaSiO6,Pb,Ti,Ca,Si,3.616892582
936,PbTiCaSnO6,Pb,Ti,Ca,Sn,3.866511669
937,PbTiCaTiO6,Pb,Ti,Ca,Ti,3.759636442
938,PbTiLaAlO6,Pb,Ti,La,Al,4.438175554
939,PbTiLaGaO6,Pb,Ti,La,Ga,4.949207085
940,PbTiLaInO6,Pb,Ti,La,In,4.37995343
941,PbTiLiNbO6,Pb,Ti,Li,Nb,3.632440439
942,PbTiLiVO6,Pb,Ti,Li,V,1.564150221
943,PbTiMgTiO6,Pb,Ti,Mg,Ti,3.54079145
944,PbTiNaNbO6,Pb,Ti,Na,Nb,3.603454802
945,PbTiNaSbO6,Pb,Ti,Na,Sb,4.20100595
946,PbTiNaVO6,Pb,Ti,Na,V,2.078686619
947,PbTiSnTiO6,Pb,Ti,Sn,Ti,2.740887039
948,PbTiSrGeO6,Pb,Ti,Sr,Ge,4.214439804
949,PbTiSrSiO6,Pb,Ti,Sr,Si,3.639510723
950,PbTiSrSnO6,Pb,Ti,Sr,Sn,4.982430469
951,PbTiSrTiO6,Pb,Ti,Sr,Ti,3.754054864
952,PbTiTlNbO6,Pb,Ti,Tl,Nb,2.253986807
953,PbTiYAlO6,Pb,Ti,Y,Al,3.887638405
954,PbZrAgNbO6,Pb,Zr,Ag,Nb,4.166115284
955,PbZrBaSnO6,Pb,Zr,Ba,Sn,5.796148247
956,PbZrBaTiO6,Pb,Zr,Ba,Ti,4.688502615
957,PbZrCaGeO6,Pb,Zr,Ca,Ge,6.26137224
958,PbZrCaSiO6,Pb,Zr,Ca,Si,6.062284869
959,PbZrCaSnO6,Pb,Zr,Ca,Sn,5.978942608
960,PbZrCaTiO6,Pb,Zr,Ca,Ti,4.347411697
961,PbZrCsVO6,Pb,Zr,Cs,V,2.327454613
962,PbZrGaNbO6,Pb,Zr,Ga,Nb,2.728501752
963,PbZrInNbO6,Pb,Zr,In,Nb,1.502295363
964,PbZrKNbO6,Pb,Zr,K,Nb,4.301584994
965,PbZrKSbO6,Pb,Zr,K,Sb,5.411015669
966,PbZrLaAlO6,Pb,Zr,La,Al,6.123085031
967,PbZrLaGaO6,Pb,Zr,La,Ga,5.792527133
968,PbZrLaInO6,Pb,Zr,La,In,5.413060914
969,PbZrLiNbO6,Pb,Zr,Li,Nb,4.322954385
970,PbZrLiVO6,Pb,Zr,Li,V,1.984307728
971,PbZrMgTiO6,Pb,Zr,Mg,Ti,4.199383995
972,PbZrNaNbO6,Pb,Zr,Na,Nb,4.26853485
973,PbZrNaSbO6,Pb,Zr,Na,Sb,5.661587712
974,PbZrNaVO6,Pb,Zr,Na,V,1.975980895
975,PbZrPbTiO6,Pb,Zr,Pb,Ti,4.486692552
976,PbZrRbNbO6,Pb,Zr,Rb,Nb,4.42595383
977,PbZrSnHfO6,Pb,Zr,Sn,Hf,4.382511212
978,PbZrSnTiO6,Pb,Zr,Sn,Ti,3.967840494
979,PbZrSnZrO6,Pb,Zr,Sn,Zr,4.372622984
980,PbZrSrGeO6,Pb,Zr,Sr,Ge,6.143619812
981,PbZrSrSiO6,Pb,Zr,Sr,Si,6.047798161
982,PbZrSrSnO6,Pb,Zr,Sr,Sn,5.909817046
983,PbZrSrTiO6,Pb,Zr,Sr,Ti,4.782362473
984,PbZrTlNbO6,Pb,Zr,Tl,Nb,2.769123763
985,PbZrYAlO6,Pb,Zr,Y,Al,5.580683524
986,RbNbAgNbO6,Rb,Nb,Ag,Nb,3.000554212
987,RbNbBaSnO6,Rb,Nb,Ba,Sn,4.582478857
988,RbNbBaTiO6,Rb,Nb,Ba,Ti,3.825994961
989,RbNbCaGeO6,Rb,Nb,Ca,Ge,4.444933002
990,RbNbCaSiO6,Rb,Nb,Ca,Si,3.961833599
991,RbNbCaSnO6,Rb,Nb,Ca,Sn,4.978006733
992,RbNbCaTiO6,Rb,Nb,Ca,Ti,3.464606286
993,RbNbGaNbO6,Rb,Nb,Ga,Nb,1.501461081
994,RbNbLaAlO6,Rb,Nb,La,Al,4.45268281
995,RbNbLaGaO6,Rb,Nb,La,Ga,4.739790941
996,RbNbLaInO6,Rb,Nb,La,In,4.788646563
997,RbNbLiNbO6,Rb,Nb,Li,Nb,3.132605798
998,RbNbMgTiO6,Rb,Nb,Mg,Ti,3.912256022
999,RbNbNaNbO6,Rb,Nb,Na,Nb,3.104351528
1000,RbNbNaSbO6,Rb,Nb,Na,Sb,4.001396256
1001,RbNbPbTiO6,Rb,Nb,Pb,Ti,3.927842162
1002,RbNbSnTiO6,Rb,Nb,Sn,Ti,2.827129685
1003,RbNbSnZrO6,Rb,Nb,Sn,Zr,3.402918374
1004,RbNbSrGeO6,Rb,Nb,Sr,Ge,4.380221184
1005,RbNbSrSiO6,Rb,Nb,Sr,Si,3.912411102
1006,RbNbSrSnO6,Rb,Nb,Sr,Sn,4.866665774
1007,RbNbSrTiO6,Rb,Nb,Sr,Ti,3.404490411
1008,RbNbTlNbO6,Rb,Nb,Tl,Nb,1.926609234
1009,RbNbTlTaO6,Rb,Nb,Tl,Ta,1.755772218
1010,RbNbYAlO6,Rb,Nb,Y,Al,4.581560313
1011,RbTaAgNbO6,Rb,Ta,Ag,Nb,3.372259
1012,RbTaAgTaO6,Rb,Ta,Ag,Ta,3.912786912
1013,RbTaBaSnO6,Rb,Ta,Ba,Sn,5.005447926
1014,RbTaBaTiO6,Rb,Ta,Ba,Ti,3.725461181
1015,RbTaCaGeO6,Rb,Ta,Ca,Ge,5.172654926
1016,RbTaCaHfO6,Rb,Ta,Ca,Hf,5.344751259
1017,RbTaCaSiO6,Rb,Ta,Ca,Si,5.009983702
1018,RbTaCaSnO6,Rb,Ta,Ca,Sn,5.542419882
1019,RbTaCaTiO6,Rb,Ta,Ca,Ti,4.15025041
1020,RbTaCaZrO6,Rb,Ta,Ca,Zr,5.289425231
1021,RbTaCsNbO6,Rb,Ta,Cs,Nb,3.244169484
1022,RbTaCsVO6,Rb,Ta,Cs,V,2.256230932
1023,RbTaGaNbO6,Rb,Ta,Ga,Nb,1.714926982
1024,RbTaGaTaO6,Rb,Ta,Ga,Ta,2.197091366
1025,RbTaKNbO6,Rb,Ta,K,Nb,3.385357147
1026,RbTaKSbO6,Rb,Ta,K,Sb,4.138193241
1027,RbTaLaAlO6,Rb,Ta,La,Al,5.350370897
1028,RbTaLaGaO6,Rb,Ta,La,Ga,5.68309794
1029,RbTaLaInO6,Rb,Ta,La,In,5.659890797
1030,RbTaLaScO6,Rb,Ta,La,Sc,5.569235185
1031,RbTaLiNbO6,Rb,Ta,Li,Nb,3.503887171
1032,RbTaLiTaO6,Rb,Ta,Li,Ta,4.063775902
1033,RbTaLiVO6,Rb,Ta,Li,V,2.256156773
1034,RbTaMgTiO6,Rb,Ta,Mg,Ti,5.087929236
1035,RbTaMgZrO6,Rb,Ta,Mg,Zr,6.155481471
1036,RbTaNaNbO6,Rb,Ta,Na,Nb,3.480365291
1037,RbTaNaSbO6,Rb,Ta,Na,Sb,4.486824192
1038,RbTaNaTaO6,Rb,Ta,Na,Ta,4.032147769
1039,RbTaNaVO6,Rb,Ta,Na,V,1.992431484
1040,RbTaPbHfO6,Rb,Ta,Pb,Hf,5.152195244
1041,RbTaPbTiO6,Rb,Ta,Pb,Ti,3.863966354
1042,RbTaPbZrO6,Rb,Ta,Pb,Zr,5.061727768
1043,RbTaRbNbO6,Rb,Ta,Rb,Nb,3.324907538
1044,RbTaSnHfO6,Rb,Ta,Sn,Hf,4.788507051
1045,RbTaSnTiO6,Rb,Ta,Sn,Ti,3.187687673
1046,RbTaSnZrO6,Rb,Ta,Sn,Zr,4.738259487
1047,RbTaSrGeO6,Rb,Ta,Sr,Ge,4.886605861
1048,RbTaSrHfO6,Rb,Ta,Sr,Hf,5.101717351
1049,RbTaSrSiO6,Rb,Ta,Sr,Si,4.925639137
1050,RbTaSrSnO6,Rb,Ta,Sr,Sn,5.339337693
1051,RbTaSrTiO6,Rb,Ta,Sr,Ti,3.820417026
1052,RbTaSrZrO6,Rb,Ta,Sr,Zr,5.004836343
1053,RbTaTlNbO6,Rb,Ta,Tl,Nb,1.755690239
1054,RbTaTlTaO6,Rb,Ta,Tl,Ta,2.236308333
1055,RbTaYAlO6,Rb,Ta,Y,Al,5.611690741
1056,SnHfAgNbO6,Sn,Hf,Ag,Nb,3.209983605
1057,SnHfBaSnO6,Sn,Hf,Ba,Sn,5.174115888
1058,SnHfBaTiO6,Sn,Hf,Ba,Ti,4.117569876
1059,SnHfCaGeO6,Sn,Hf,Ca,Ge,4.190195999
1060,SnHfCaSiO6,Sn,Hf,Ca,Si,4.879451562
1061,SnHfCaSnO6,Sn,Hf,Ca,Sn,3.946579171
1062,SnHfCaTiO6,Sn,Hf,Ca,Ti,3.352056245
1063,SnHfCsVO6,Sn,Hf,Cs,V,1.553908766
1064,SnHfGaNbO6,Sn,Hf,Ga,Nb,2.680932059
1065,SnHfGaTaO6,Sn,Hf,Ga,Ta,3.434604475
1066,SnHfInNbO6,Sn,Hf,In,Nb,1.463743255
1067,SnHfKNbO6,Sn,Hf,K,Nb,4.033855052
1068,SnHfLaAlO6,Sn,Hf,La,Al,4.926783336
1069,SnHfLaGaO6,Sn,Hf,La,Ga,4.783226641
1070,SnHfLaInO6,Sn,Hf,La,In,4.45984096
1071,SnHfLiNbO6,Sn,Hf,Li,Nb,3.257029919
1072,SnHfLiVO6,Sn,Hf,Li,V,0.650198371
1073,SnHfMgTiO6,Sn,Hf,Mg,Ti,3.126042499
1074,SnHfNaNbO6,Sn,Hf,Na,Nb,3.140093285
1075,SnHfNaSbO6,Sn,Hf,Na,Sb,4.99990274
1076,SnHfNaVO6,Sn,Hf,Na,V,1.483239949
1077,SnHfPbTiO6,Sn,Hf,Pb,Ti,3.974059783
1078,SnHfRbNbO6,Sn,Hf,Rb,Nb,4.012968027
1079,SnHfSnTiO6,Sn,Hf,Sn,Ti,3.527115883
1080,SnHfSnZrO6,Sn,Hf,Sn,Zr,3.970705007
1081,SnHfSrGeO6,Sn,Hf,Sr,Ge,5.080946049
1082,SnHfSrSiO6,Sn,Hf,Sr,Si,4.896460123
1083,SnHfSrSnO6,Sn,Hf,Sr,Sn,5.171032937
1084,SnHfSrTiO6,Sn,Hf,Sr,Ti,4.144891869
1085,SnHfTlNbO6,Sn,Hf,Tl,Nb,2.709728065
1086,SnHfYAlO6,Sn,Hf,Y,Al,4.336146837
1087,SnTiYAlO6,Sn,Ti,Y,Al,2.700036899
1088,SnZrAgNbO6,Sn,Zr,Ag,Nb,3.229537258
1089,SnZrBaSnO6,Sn,Zr,Ba,Sn,5.135553587
1090,SnZrBaTiO6,Sn,Zr,Ba,Ti,4.111540315
1091,SnZrCaGeO6,Sn,Zr,Ca,Ge,4.991572731
1092,SnZrCaSiO6,Sn,Zr,Ca,Si,4.77896532
1093,SnZrCaSnO6,Sn,Zr,Ca,Sn,5.126303777
1094,SnZrCaTiO6,Sn,Zr,Ca,Ti,3.430578699
1095,SnZrCaZrO6,Sn,Zr,Ca,Zr,4.884594323
1096,SnZrCsVO6,Sn,Zr,Cs,V,1.579963591
1097,SnZrGaNbO6,Sn,Zr,Ga,Nb,2.679548904
1098,SnZrGaTaO6,Sn,Zr,Ga,Ta,3.407617962
1099,SnZrInNbO6,Sn,Zr,In,Nb,1.473774385
1100,SnZrKNbO6,Sn,Zr,K,Nb,4.021001601
1101,SnZrKSbO6,Sn,Zr,K,Sb,4.839100803
1102,SnZrLaAlO6,Sn,Zr,La,Al,4.858929864
1103,SnZrLaGaO6,Sn,Zr,La,Ga,4.692095969
1104,SnZrLaInO6,Sn,Zr,La,In,4.423128282
1105,SnZrLiNbO6,Sn,Zr,Li,Nb,3.330009183
1106,SnZrLiVO6,Sn,Zr,Li,V,1.496601007
1107,SnZrMgTiO6,Sn,Zr,Mg,Ti,3.24826497
1108,SnZrNaNbO6,Sn,Zr,Na,Nb,3.218716099
1109,SnZrNaSbO6,Sn,Zr,Na,Sb,4.940578625
1110,SnZrNaVO6,Sn,Zr,Na,V,1.507160671
1111,SnZrPbTiO6,Sn,Zr,Pb,Ti,3.968205092
1112,SnZrSnTiO6,Sn,Zr,Sn,Ti,3.745150863
1113,SnZrSrGeO6,Sn,Zr,Sr,Ge,5.012190275
1114,SnZrSrSiO6,Sn,Zr,Sr,Si,4.792990418
1115,SnZrSrSnO6,Sn,Zr,Sr,Sn,5.135155814
1116,SnZrSrTiO6,Sn,Zr,Sr,Ti,4.137110462
1117,SnZrTlNbO6,Sn,Zr,Tl,Nb,3.199119137
1118,SnZrTlTaO6,Sn,Zr,Tl,Ta,3.711956415
1119,SnZrYAlO6,Sn,Zr,Y,Al,4.252384233
1120,SrGeAgNbO6,Sr,Ge,Ag,Nb,4.17527143
1121,SrGeCaGeO6,Sr,Ge,Ca,Ge,2.594730579
1122,SrGeCaSiO6,Sr,Ge,Ca,Si,3.610404089
1123,SrGeCaSnO6,Sr,Ge,Ca,Sn,3.176619834
1124,SrGeCaTiO6,Sr,Ge,Ca,Ti,4.854383494
1125,SrGeLaAlO6,Sr,Ge,La,Al,5.326796507
1126,SrGeLaGaO6,Sr,Ge,La,Ga,3.461904133
1127,SrGeLaInO6,Sr,Ge,La,In,3.979319695
1128,SrGeLiVO6,Sr,Ge,Li,V,2.036765745
1129,SrGeMgTiO6,Sr,Ge,Mg,Ti,5.057554717
1130,SrGeSnTiO6,Sr,Ge,Sn,Ti,3.278589306
1131,SrGeYAlO6,Sr,Ge,Y,Al,5.805413062
1132,SrHfAgNbO6,Sr,Hf,Ag,Nb,4.176895192
1133,SrHfAgTaO6,Sr,Hf,Ag,Ta,4.200189633
1134,SrHfBaSnO6,Sr,Hf,Ba,Sn,6.263415327
1135,SrHfBaTiO6,Sr,Hf,Ba,Ti,4.710168434
1136,SrHfCaGeO6,Sr,Hf,Ca,Ge,6.746283956
1137,SrHfCaSiO6,Sr,Hf,Ca,Si,7.294961255
1138,SrHfCaSnO6,Sr,Hf,Ca,Sn,6.436087606
1139,SrHfCaTiO6,Sr,Hf,Ca,Ti,5.06131937
1140,SrHfCsNbO6,Sr,Hf,Cs,Nb,4.252232394
1141,SrHfCsVO6,Sr,Hf,Cs,V,1.925412534
1142,SrHfGaNbO6,Sr,Hf,Ga,Nb,2.752638628
1143,SrHfGaTaO6,Sr,Hf,Ga,Ta,3.492686975
1144,SrHfInNbO6,Sr,Hf,In,Nb,1.472787671
1145,SrHfInTaO6,Sr,Hf,In,Ta,2.142406138
1146,SrHfKNbO6,Sr,Hf,K,Nb,4.334239422
1147,SrHfKSbO6,Sr,Hf,K,Sb,5.652959022
1148,SrHfLaAlO6,Sr,Hf,La,Al,7.008201642
1149,SrHfLaGaO6,Sr,Hf,La,Ga,7.241445283
1150,SrHfLaInO6,Sr,Hf,La,In,6.550766008
1151,SrHfLiNbO6,Sr,Hf,Li,Nb,4.705854233
1152,SrHfLiVO6,Sr,Hf,Li,V,1.971766171
1153,SrHfMgTiO6,Sr,Hf,Mg,Ti,5.499077752
1154,SrHfMgZrO6,Sr,Hf,Mg,Zr,7.474759963
1155,SrHfNaNbO6,Sr,Hf,Na,Nb,4.417036691
1156,SrHfNaSbO6,Sr,Hf,Na,Sb,5.945060913
1157,SrHfNaVO6,Sr,Hf,Na,V,1.95911547
1158,SrHfPbHfO6,Sr,Hf,Pb,Hf,5.913216316
1159,SrHfPbTiO6,Sr,Hf,Pb,Ti,4.806805346
1160,SrHfPbZrO6,Sr,Hf,Pb,Zr,5.85190613
1161,SrHfRbNbO6,Sr,Hf,Rb,Nb,4.283633554
1162,SrHfSnHfO6,Sr,Hf,Sn,Hf,5.167009671
1163,SrHfSnTiO6,Sr,Hf,Sn,Ti,3.490516735
1164,SrHfSnZrO6,Sr,Hf,Sn,Zr,5.142678923
1165,SrHfSrGeO6,Sr,Hf,Sr,Ge,6.492423051
1166,SrHfSrSiO6,Sr,Hf,Sr,Si,7.274729675
1167,SrHfSrSnO6,Sr,Hf,Sr,Sn,6.398151683
1168,SrHfSrTiO6,Sr,Hf,Sr,Ti,4.808535196
1169,SrHfSrZrO6,Sr,Hf,Sr,Zr,6.587499549
1170,SrHfTlNbO6,Sr,Hf,Tl,Nb,2.789967739
1171,SrHfTlTaO6,Sr,Hf,Tl,Ta,3.537462784
1172,SrHfYAlO6,Sr,Hf,Y,Al,7.85475225
1173,SrSiAgNbO6,Sr,Si,Ag,Nb,3.735156221
1174,SrSiCaGeO6,Sr,Si,Ca,Ge,3.591819082
1175,SrSiCaSiO6,Sr,Si,Ca,Si,5.791606342
1176,SrSiCaSnO6,Sr,Si,Ca,Sn,3.879590944
1177,SrSiCaTiO6,Sr,Si,Ca,Ti,4.490676552
1178,SrSiLaAlO6,Sr,Si,La,Al,7.781253229
1179,SrSiLaGaO6,Sr,Si,La,Ga,5.025059286
1180,SrSiLaInO6,Sr,Si,La,In,5.1817765
1181,SrSiLiNbO6,Sr,Si,Li,Nb,4.200926152
1182,SrSiLiVO6,Sr,Si,Li,V,1.55928847
1183,SrSiMgTiO6,Sr,Si,Mg,Ti,5.003049204
1184,SrSiSnTiO6,Sr,Si,Sn,Ti,2.61479547
1185,SrSiSrGeO6,Sr,Si,Sr,Ge,3.06110138
1186,SrSiSrSnO6,Sr,Si,Sr,Sn,3.529644563
1187,SrSiSrTiO6,Sr,Si,Sr,Ti,4.387038008
1188,SrSiYAlO6,Sr,Si,Y,Al,8.103995713
1189,SrSnAgNbO6,Sr,Sn,Ag,Nb,4.236154672
1190,SrSnCaGeO6,Sr,Sn,Ca,Ge,2.579727765
1191,SrSnCaSiO6,Sr,Sn,Ca,Si,3.848751305
1192,SrSnCaSnO6,Sr,Sn,Ca,Sn,3.697927802
1193,SrSnCaTiO6,Sr,Sn,Ca,Ti,4.770072455
1194,SrSnLaAlO6,Sr,Sn,La,Al,5.552495553
1195,SrSnLaGaO6,Sr,Sn,La,Ga,4.088655265
1196,SrSnLaInO6,Sr,Sn,La,In,4.176892582
1197,SrSnMgTiO6,Sr,Sn,Mg,Ti,5.151680803
1198,SrSnSnTiO6,Sr,Sn,Sn,Ti,4.288963447
1199,SrSnSrGeO6,Sr,Sn,Sr,Ge,2.299718075
1200,SrSnSrTiO6,Sr,Sn,Sr,Ti,5.121862654
1201,SrSnYAlO6,Sr,Sn,Y,Al,5.559431157
1202,SrTiAgNbO6,Sr,Ti,Ag,Nb,3.339764295
1203,SrTiCaGeO6,Sr,Ti,Ca,Ge,4.897520596
1204,SrTiCaSiO6,Sr,Ti,Ca,Si,4.487936065
1205,SrTiCaSnO6,Sr,Ti,Ca,Sn,4.770601938
1206,SrTiCaTiO6,Sr,Ti,Ca,Ti,3.931832825
1207,SrTiLaAlO6,Sr,Ti,La,Al,4.975239684
1208,SrTiLaGaO6,Sr,Ti,La,Ga,5.29666036
1209,SrTiLaInO6,Sr,Ti,La,In,5.292661823
1210,SrTiLiNbO6,Sr,Ti,Li,Nb,3.574708867
1211,SrTiLiVO6,Sr,Ti,Li,V,2.701019829
1212,SrTiMgTiO6,Sr,Ti,Mg,Ti,4.740281538
1213,SrTiSnTiO6,Sr,Ti,Sn,Ti,2.822797487
1214,SrTiSrGeO6,Sr,Ti,Sr,Ge,4.676873549
1215,SrTiYAlO6,Sr,Ti,Y,Al,5.292063377
1216,SrZrAgNbO6,Sr,Zr,Ag,Nb,4.138226816
1217,SrZrAgTaO6,Sr,Zr,Ag,Ta,4.170672569
1218,SrZrBaSnO6,Sr,Zr,Ba,Sn,6.427321329
1219,SrZrBaTiO6,Sr,Zr,Ba,Ti,4.674153802
1220,SrZrCaGeO6,Sr,Zr,Ca,Ge,6.200940699
1221,SrZrCaSiO6,Sr,Zr,Ca,Si,6.823548556
1222,SrZrCaSnO6,Sr,Zr,Ca,Sn,6.727992178
1223,SrZrCaTiO6,Sr,Zr,Ca,Ti,5.064483253
1224,SrZrCsNbO6,Sr,Zr,Cs,Nb,4.204970633
1225,SrZrCsVO6,Sr,Zr,Cs,V,2.301070665
1226,SrZrGaNbO6,Sr,Zr,Ga,Nb,2.75034975
1227,SrZrGaTaO6,Sr,Zr,Ga,Ta,3.445174563
1228,SrZrInNbO6,Sr,Zr,In,Nb,1.480554007
1229,SrZrInTaO6,Sr,Zr,In,Ta,2.104380205
1230,SrZrKNbO6,Sr,Zr,K,Nb,4.283561279
1231,SrZrKSbO6,Sr,Zr,K,Sb,5.578868143
1232,SrZrLaAlO6,Sr,Zr,La,Al,6.741766285
1233,SrZrLaGaO6,Sr,Zr,La,Ga,6.999519732
1234,SrZrLaInO6,Sr,Zr,La,In,6.771740807
1235,SrZrLiNbO6,Sr,Zr,Li,Nb,4.959242475
1236,SrZrLiTaO6,Sr,Zr,Li,Ta,5.176051827
1237,SrZrLiVO6,Sr,Zr,Li,V,1.987131612
1238,SrZrMgTiO6,Sr,Zr,Mg,Ti,5.717352915
1239,SrZrMgZrO6,Sr,Zr,Mg,Zr,6.943180739
1240,SrZrNaNbO6,Sr,Zr,Na,Nb,4.375144271
1241,SrZrNaSbO6,Sr,Zr,Na,Sb,5.864816808
1242,SrZrNaVO6,Sr,Zr,Na,V,1.97424218
1243,SrZrPbHfO6,Sr,Zr,Pb,Hf,5.851968532
1244,SrZrPbTiO6,Sr,Zr,Pb,Ti,4.786374901
1245,SrZrPbZrO6,Sr,Zr,Pb,Zr,5.795287748
1246,SrZrRbNbO6,Sr,Zr,Rb,Nb,4.240433077
1247,SrZrSnHfO6,Sr,Zr,Sn,Hf,5.142562912
1248,SrZrSnTiO6,Sr,Zr,Sn,Ti,4.132405402
1249,SrZrSnZrO6,Sr,Zr,Sn,Zr,5.126089659
1250,SrZrSrGeO6,Sr,Zr,Sr,Ge,6.415338434
1251,SrZrSrSiO6,Sr,Zr,Sr,Si,6.767726491
